Cereal,Manufacturer,Calories,Protein,ProteinPer,Fat,FatPer,Sodium,SodiumPer,Sodium_Range,Fiber,FiberPer,Fiber_Range,Carbohydrates,CarbohydratesPer,Sugars,SugarsPer,Sugars_Range,Potassium,PotassiumPer,Vitamins,Weight,Shelf,Rating
Apple Cinnamon Cheerios,General Mills,138,3,50,3,11,225,30,High,2,19,Low,13,13,13,42,High,88,6,25,1,1,30
Basic 4,General Mills,163,4,22,3,11,263,35,High,3,25,Medium,23,22,10,33,High,125,8,25,1,3,37
Cheerios,General Mills,83,5,26,2,7,218,29,High,2,15,Low,13,12,1,3,Low,79,5,25,1,1,51
Cinnamon Toast Crunch,General Mills,150,1,7,4,16,263,35,High,0,0,Low,16,16,11,38,High,56,4,25,1,2,20
Clusters,General Mills,165,5,26,3,13,210,28,High,3,30,Medium,20,19,11,35,High,158,11,25,1,3,40
Cocoa Puffs,General Mills,110,1,6,1,4,180,24,High,0,0,Low,12,12,13,43,High,55,4,25,1,2,23
Count Chocula,General Mills,110,1,6,1,4,180,24,High,0,0,Low,12,12,13,43,High,65,4,25,1,2,22
Crispy Wheat & Raisins,General Mills,125,3,15,1,5,175,23,High,3,25,Medium,14,13,13,42,High,150,10,25,1,3,36
Golden Grahams,General Mills,138,1,7,1,5,350,46,High,0,0,Low,19,18,11,38,High,56,4,25,1,2,24
Honey Nut Cheerios,General Mills,138,4,22,1,5,313,41,High,2,19,Low,14,14,13,42,High,113,8,25,1,1,31
Kix,General Mills,55,1,6,1,2,130,17,Medium,0,0,Low,11,10,2,5,Low,20,1,25,1,2,39
Lucky Charms,General Mills,110,2,12,1,4,180,24,High,0,0,Low,12,12,12,40,High,55,4,25,1,2,27
Multi-Grain Cheerios,General Mills,100,2,12,1,4,220,29,High,2,20,Low,15,15,6,20,High,90,6,25,1,1,40
Oatmeal Raisin Crisp,General Mills,195,5,26,3,13,255,34,High,2,23,Low,20,20,15,50,High,180,12,25,1,3,30
